사업규모설명,회계연도,소관명,총사업비,사업유형대분류,사업유형중분류,사업유형,설계비,기타관리금액,시설부대비,총사업비명,보상비,예비비,감리비,공사비
,2023,교육부,23617,건축,학교등 교육연구시설,학교 등 교육시설,985,0,46,전남대학교 1권역 반도체공동연구소 건립,0,0,1721,20865
,2023,교육부,22557,건축,학교등 교육연구시설,학교 등 교육시설,957,0,48,정보의생명공학대학 신축,0,0,587,20965
,2023,교육부,31351,건축,학교등 교육연구시설,학교 등 교육시설,1261,0,69,제6공학관 개축,0,0,297,29724
,2023,교육부,24114,건축,학교등 교육연구시설,학교 등 교육시설,986,0,46,첨단과학관 재건축,0,0,1106,21976
,2023,교육부,26417,건축,학교등 교육연구시설,학교 등 교육시설,1159,0,54,충남대학교 4권역 반도체공동연구소 건립,0,0,590,24614
,2023,교육부,31601,건축,학교등 교육연구시설,학교 등 교육시설,1152,0,65,충남대학교 실내체육관 리모델링 및 확충,0,0,1922,28462
,2023,교육부,46305,건축,학교등 교육연구시설,학교 등 교육시설,1850,0,101,한국교원대학교 부설 체육 중고등 특수학교 설립,0,0,435,43919
,2023,교육부,26532,건축,학교등 교육연구시설,학교 등 교육시설,1028,0,55,해양과학기술전문대학원관,0,0,107,25342
,2023,국가보훈부,23206,건축,노인복지시설 등,노인복지시설 등,949,0,1419,수원보훈요양원 증축,0,0,2391,18447
,2023,국가보훈부,33708,건축,노인복지시설 등,노인복지시설 등,1436,0,2338,전북권 보훈요양원 건립,2104,0,2041,25789
,2023,국가보훈부,42747,건축,노인복지시설 등,노인복지시설 등,2120,0,2810,충북권 보훈요양원 건립,2372,0,2755,32690
,2023,국가보훈부,49530,건축,묘지관련시설,묘지관련시설,3956,0,81,강원권 호국원 조성사업,2900,0,3843,38750
,2023,국가보훈부,101960,건축,묘지관련시설,묘지관련시설,6527,0,941,국립연천현충원 조성사업,16539,0,3737,74216
,2023,국가보훈부,32071,건축,묘지관련시설,묘지관련시설,1219,0,60,국립영천호국원 제3봉안당 건립공사,1221,0,2551,27020
,2023,국가보훈부,71633,건축,묘지관련시설,묘지관련시설,3665,0,111,국립이천호국원 봉안당 건립공사,16221,0,3733,47903
,2023,국가보훈부,20674,건축,묘지관련시설,묘지관련시설,1065,0,389,국립임실호국원 제3충령당 신축공사,619,0,1796,16805
,2023,국가보훈부,45715,건축,병원등 의료시설,의료시설(장례식장 포함),1740,0,185,대구보훈병원 서관동 증축,850,0,4509,38431
,2023,국가보훈부,42003,건축,병원등 의료시설,의료시설(장례식장 포함),1599,0,130,중앙보훈병원 치과병원 증축,2567,0,2430,35277
,2023,국세청,34032,건축,업무시설(공공청사),업무시설(공공청사),932,0,51,국세청 강동세무서 청사 신축,9278,0,1508,22263
,2023,국세청,38334,건축,업무시설(공공청사),업무시설(공공청사),1106,0,44,국세청 구로세무서 청사 신축,16774,0,1330,19080
,2023,국세청,34454,건축,업무시설(공공청사),업무시설(공공청사),1541,0,202,국세청 김해세무서 청사 재건축,0,0,1828,30883
