계정명,이체등증감액,회계명,회계연도,수입항,수입항명,수입관,수입관명,불납결손액,미수납액,소관명,수납액,징수결정액,세입예산액/당초수입계획액,세입예산액/수정수입계획액,세입예산현액/수입계획현액,수납순액
,0,복권기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,0,기획재정부,2575844500,2575844500,5209000000,5209000000,5209000000,2575844500
,0,산업기반신용보증기금,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,10157618188,10157618188,20843000000,20843000000,20843000000,10157618188
,0,산업기반신용보증기금,2022,59,기타경상이전수입,12,경상이전수입,0,0,기획재정부,0,0,3318000000,3318000000,3318000000,0
,0,산업기반신용보증기금,2022,65,면허료및수수료,13,재화및용역판매수입,0,0,기획재정부,21806095130,21806095130,22646000000,22646000000,22646000000,21806095130
,0,산업기반신용보증기금,2022,84,유가증권매각대,31,차입금및여유자금회수,0,0,기획재정부,30000,30000,0,0,0,30000
,0,산업기반신용보증기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,1.15452E+12,1.15452E+12,6.29488E+11,6.29488E+11,6.29488E+11,1.15452E+12
,0,산업기반신용보증기금,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,15000000000,15000000000,15000000000,15000000000,15000000000,15000000000
,0,산업기반신용보증기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,0,기획재정부,404999990,404999990,405000000,405000000,405000000,404999990
,0,외국환평형기금,2022,52,정부출자수입,11,재산수입,0,0,기획재정부,1.17617E+11,1.17617E+11,39120000000,39120000000,39120000000,1.17617E+11
,0,외국환평형기금,2022,54,기타이자수입및재산수입,11,재산수입,0,0,기획재정부,1.94279E+12,1.94279E+12,1.71451E+12,1.73664E+12,1.73664E+12,1.94279E+12
,0,외국환평형기금,2022,59,기타경상이전수입,12,경상이전수입,0,0,기획재정부,1.19519E+11,1.19519E+11,99193000000,99193000000,99193000000,1.19519E+11
,0,외국환평형기금,2022,81,국공채수입,31,차입금및여유자금회수,0,0,기획재정부,0,0,1.131E+12,1.131E+12,1.131E+12,0
